,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,PG1,PG2
0,1,0,17,1,1,1,4,3,2,5,2,2,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,3,4,0,11,12
1,0,1,17,1,0,0,1,0,5,5,1,2,1,1,0,0,0,0,0,1,1,0,1,4,1,2,1,1,5,4,11,11
2,1,1,16,0,1,1,2,1,5,5,3,2,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,2,14,13
3,0,1,17,1,1,1,3,3,3,4,3,2,2,4,1,0,1,1,1,1,1,0,0,5,4,5,3,4,5,0,10,11
4,1,1,15,0,1,1,3,4,4,1,3,2,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2,12,11
5,0,1,18,0,1,1,1,1,5,5,1,2,2,1,1,0,0,0,1,1,0,1,0,4,4,3,3,4,4,0,8,9
6,0,1,19,0,1,1,1,1,5,3,1,0,3,2,1,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8,10,9
7,1,0,17,1,1,0,2,2,4,4,1,1,1,2,0,0,1,0,0,1,1,1,1,3,3,1,1,2,4,18,10,12
8,1,1,16,1,1,1,4,4,1,1,1,2,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11
9,0,0,19,1,1,1,1,1,5,5,3,0,2,2,1,0,1,0,0,1,1,1,1,1,1,4,4,1,1,12,7,8
10,1,0,17,1,1,0,2,1,5,5,3,2,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,0,15,15
11,0,1,15,1,0,0,2,2,5,5,2,2,3,4,0,0,1,0,1,1,1,0,0,5,4,5,2,3,5,8,13,14
12,1,0,18,1,1,1,2,2,4,5,3,2,4,2,0,0,0,0,1,1,1,0,1,4,2,5,1,1,2,2,10,9
13,1,1,16,1,1,1,3,1,5,5,2,1,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,13,11
14,0,0,17,1,1,0,1,1,4,4,4,2,1,2,0,0,0,0,1,1,1,1,1,4,5,5,1,2,3,2,11,10
15,0,0,16,1,1,1,1,2,5,3,3,2,1,3,1,0,1,0,0,1,1,0,0,1,3,2,1,2,4,0,10,8
16,0,0,17,1,1,1,2,2,5,4,3,2,1,1,0,0,1,0,1,1,0,0,0,4,5,3,1,1,5,4,9,9
17,1,0,17,1,1,1,4,4,1,3,3,2,1,2,0,0,1,1,0,1,1,1,1,5,3,1,1,4,5,2,11,11
18,1,0,15,1,1,1,2,1,3,5,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12
19,1,0,17,0,0,1,4,4,3,5,4,2,1,1,0,0,1,0,0,1,1,0,0,5,2,1,1,2,3,6,12,11
20,1,1,16,1,0,1,4,3,3,5,2,2,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12
21,1,1,17,0,0,0,4,4,1,5,3,2,2,2,0,0,1,0,0,1,1,1,0,3,3,3,2,3,4,0,12,12
22,0,0,17,0,1,1,2,2,5,5,4,2,2,2,0,1,0,1,0,1,1,0,0,5,1,3,1,1,5,0,11,9
23,1,0,18,1,1,1,3,3,4,5,3,1,1,2,0,0,1,0,0,1,1,1,0,4,1,4,1,1,3,8,11,12
24,0,0,16,0,1,1,4,4,2,1,2,1,1,2,0,0,0,0,1,0,1,1,1,4,3,3,2,3,2,0,14,16
25,1,1,18,0,0,0,3,4,5,5,2,2,2,2,0,0,1,0,1,1,1,1,0,4,2,5,3,4,1,6,15,16
