,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,PG1,PG2
0,1,1,16,1,0,1,4,3,1,5,3,2,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,7,14,14
1,0,0,16,1,0,0,2,2,5,5,1,2,1,1,0,0,1,0,0,1,0,0,0,4,3,4,1,2,1,6,7,7
2,1,0,15,1,1,1,1,1,5,5,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,13,12
3,0,0,15,0,0,1,1,1,5,3,3,2,2,1,1,0,1,0,0,1,1,1,1,4,4,3,1,2,2,4,6,7
4,0,1,18,1,1,1,3,3,4,4,3,2,1,2,2,0,1,0,1,1,0,1,0,4,4,5,1,3,3,9,4,8
5,0,0,16,0,1,1,1,1,4,5,4,1,4,3,0,1,1,0,0,1,1,0,0,4,4,3,1,1,5,2,10,9
6,1,1,16,0,0,1,3,3,1,5,1,1,3,1,0,0,1,0,1,1,1,1,0,3,3,4,3,5,3,16,10,11
7,0,1,18,0,1,1,3,2,5,5,3,2,2,1,0,0,1,0,0,0,1,1,0,2,5,5,5,5,5,8,9,10
8,0,0,16,1,1,1,1,3,4,5,4,1,2,1,0,0,1,0,0,1,0,1,1,4,3,3,1,3,5,11,10,11
9,0,0,18,1,1,1,1,1,4,3,3,2,3,2,1,0,0,0,0,1,0,0,0,4,4,2,1,2,2,2,9,10
10,1,0,18,1,0,1,2,2,4,3,3,2,1,2,1,0,1,0,0,0,1,1,1,5,3,1,1,1,5,16,9,8
11,0,1,18,0,1,1,4,4,4,3,4,2,3,1,0,0,1,1,1,1,1,1,1,2,5,5,1,1,1,5,12,13
12,0,0,18,0,1,1,1,1,4,5,4,2,1,2,1,0,1,0,0,1,1,1,1,4,3,2,1,1,5,9,7,7
13,0,0,16,0,1,1,2,2,5,5,3,2,2,2,0,0,1,0,1,1,1,1,0,4,4,4,1,1,5,0,12,12
14,0,1,16,1,1,1,1,1,4,3,1,2,2,2,0,0,1,0,1,1,1,0,1,5,4,5,4,5,3,0,7,0
15,1,0,18,1,1,1,2,1,3,5,3,2,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,2,1,2,12,12
16,0,0,17,0,1,1,4,2,5,5,3,2,2,2,0,1,1,0,0,0,1,1,0,4,3,3,2,3,5,0,17,18
17,0,1,15,1,0,1,3,3,4,4,2,1,1,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,0,11,11
18,1,0,16,1,1,1,4,4,3,3,2,2,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13
19,0,0,19,1,0,0,1,1,4,5,3,2,1,1,0,0,1,0,0,1,0,0,0,1,4,4,1,1,5,0,6,8
20,0,1,17,1,1,1,1,2,5,5,3,1,1,1,1,0,1,0,1,1,0,1,1,5,3,5,5,5,1,12,6,7
21,1,0,16,0,1,1,3,3,3,5,2,1,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4,11,11
22,1,0,17,0,0,1,3,1,3,5,2,2,2,4,0,0,1,0,0,1,1,0,0,3,1,2,1,1,3,0,18,19
23,1,1,15,0,1,1,4,4,5,5,1,1,4,4,0,0,1,0,1,1,1,1,1,1,3,5,3,5,1,8,12,10
24,1,0,18,1,0,1,3,3,3,3,1,2,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,4,14,14
25,0,0,16,1,0,1,4,1,5,5,1,2,2,2,0,0,1,0,1,1,1,1,0,1,2,4,2,2,1,8,9,10
