,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,PG1,PG2
0,0,0,15,0,1,1,4,4,1,5,3,2,2,1,0,0,0,0,0,1,1,1,1,1,5,1,3,5,5,0,13,14
1,0,0,16,0,1,1,1,1,4,5,4,1,4,3,0,1,1,0,0,1,1,0,0,4,4,3,1,1,5,2,10,9
2,1,1,19,1,1,1,2,1,5,5,2,2,1,1,0,0,0,0,0,1,1,1,0,5,3,4,1,4,4,10,7,11
3,0,1,17,1,1,1,2,3,5,3,1,1,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,4,14,15
4,0,1,16,1,1,0,1,2,5,5,4,2,1,3,0,1,0,0,0,1,1,1,0,4,4,3,1,1,5,0,10,11
5,0,0,16,0,0,1,2,2,5,5,3,2,1,3,0,0,1,0,0,0,1,0,1,4,3,3,2,2,5,2,11,11
6,0,1,15,0,0,1,1,3,4,5,2,1,3,1,0,0,1,0,1,1,1,1,0,4,2,4,3,5,3,2,10,11
7,1,1,18,1,0,1,1,1,5,5,3,2,1,1,2,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,11,9
8,1,0,16,1,1,1,1,2,5,5,3,2,1,1,0,0,0,0,0,1,0,1,0,5,3,5,1,2,5,4,12,11
9,1,1,18,1,1,1,4,4,5,5,3,2,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,0,13,14
10,0,0,18,1,1,1,3,3,3,3,4,2,2,2,0,0,1,0,0,1,1,1,1,4,3,2,1,3,3,6,13,12
11,1,0,17,1,1,0,4,4,5,1,1,2,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13
12,1,1,17,0,1,1,1,2,4,4,1,2,1,2,0,0,1,0,1,0,1,0,1,3,5,2,2,2,1,2,16,17
13,0,1,16,0,1,1,2,1,5,3,2,2,2,2,0,0,0,0,1,1,1,1,0,5,2,1,1,1,2,0,8,7
14,1,0,15,1,0,1,4,2,2,5,4,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,14
15,1,1,17,1,0,1,2,3,3,3,2,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,3,3,0,10,11
16,0,0,17,0,1,1,4,1,5,5,4,2,1,1,0,0,0,0,0,1,1,1,1,4,2,3,1,2,5,1,13,14
17,1,1,17,1,1,1,3,3,5,5,2,1,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,11,9
18,1,0,17,0,0,1,2,2,3,3,3,2,1,3,0,0,1,0,1,1,1,1,0,3,3,2,2,2,3,0,11,11
19,0,0,17,0,1,1,2,3,5,5,3,2,2,1,0,0,1,0,0,1,1,1,0,5,5,5,1,3,3,2,10,11
20,1,0,16,1,0,0,3,3,5,3,1,2,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,6,13,12
21,0,0,18,0,0,0,1,2,4,5,3,2,3,2,0,0,0,0,0,1,1,0,1,4,3,4,1,4,5,0,16,15
22,1,0,15,1,1,1,1,1,5,5,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,13,12
