Dalc,Fedu,Fjob,Medu,Mjob,PG1,PG2,Pstatus,Walc,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,health,higher,internet,nursery,paid,predictedMarks,reason,romantic,school,schoolsup,sex,studytime,traveltime
1,3,other,4,teacher,14,14,T,1,yes,U,16,0,5,LE3,no,4,5,mother,3,yes,yes,no,no,15,course,no,GP,no,M,1,1
1,2,other,2,other,7,7,A,2,no,U,16,0,4,LE3,yes,3,4,mother,1,no,no,yes,no,8,home,no,MS,no,F,1,1
2,1,other,1,other,13,12,T,3,yes,U,15,0,4,GT3,yes,3,2,father,4,yes,yes,no,no,13,home,no,GP,no,F,2,1
1,1,services,1,other,6,7,T,2,no,R,15,1,4,LE3,yes,4,3,mother,2,yes,yes,yes,no,9,course,yes,MS,no,F,1,2
1,3,at_home,3,at_home,4,8,T,3,yes,U,18,2,4,GT3,yes,4,5,mother,3,no,yes,yes,no,10,course,no,MS,no,M,2,1
1,1,other,1,at_home,10,9,T,1,no,R,16,0,4,GT3,yes,4,3,father,5,yes,no,yes,no,10,other,no,MS,yes,F,3,4
3,3,other,3,teacher,10,11,T,5,yes,R,16,0,3,LE3,yes,3,4,father,3,yes,yes,yes,no,11,home,no,GP,no,M,1,3
5,2,other,3,other,9,10,T,5,no,R,18,0,2,GT3,yes,5,5,mother,5,yes,yes,no,no,10,course,no,MS,no,M,1,2
1,3,other,1,at_home,10,11,T,3,no,U,16,0,4,GT3,yes,3,3,father,5,no,yes,yes,no,11,other,yes,MS,no,F,1,2
1,1,services,1,at_home,9,10,T,2,no,U,18,1,4,GT3,no,4,2,mother,2,no,no,yes,no,10,course,no,MS,no,F,2,3
1,2,services,2,at_home,9,8,T,1,no,U,18,1,5,LE3,yes,3,1,mother,5,yes,yes,no,no,10,course,yes,GP,no,F,2,1
1,4,services,4,at_home,12,13,T,1,yes,R,18,0,2,GT3,yes,5,5,mother,1,yes,yes,yes,yes,14,other,yes,MS,no,M,1,3
1,1,other,1,at_home,7,7,T,1,no,R,18,1,4,GT3,yes,3,2,mother,5,yes,yes,yes,no,8,other,yes,MS,no,F,2,1
1,2,other,2,other,12,12,T,1,yes,R,16,0,4,GT3,yes,4,4,mother,5,yes,yes,yes,no,13,course,no,MS,no,F,2,2
4,1,services,1,at_home,7,0,T,5,yes,U,16,0,5,GT3,yes,4,5,mother,3,yes,no,yes,no,0,home,yes,MS,no,M,2,2
1,1,other,2,services,12,12,T,2,yes,U,18,0,5,GT3,yes,3,3,mother,1,yes,yes,yes,no,13,course,no,GP,no,F,2,2
2,2,other,4,other,17,18,T,3,no,R,17,0,4,GT3,yes,3,3,mother,5,yes,yes,no,no,17,course,no,MS,yes,F,2,2
1,3,at_home,3,at_home,11,11,T,1,yes,U,15,0,5,LE3,yes,3,3,father,5,yes,yes,yes,no,11,reputation,no,MS,no,M,2,1
1,4,services,4,services,13,13,T,2,yes,U,16,0,3,GT3,yes,2,3,mother,2,yes,yes,yes,no,13,reputation,no,GP,no,F,3,1
1,1,other,1,at_home,6,8,A,1,no,U,19,0,1,LE3,yes,4,4,mother,5,no,no,yes,no,9,course,no,MS,no,F,1,1
5,2,other,1,other,6,7,T,5,yes,U,17,1,5,GT3,yes,3,5,father,1,no,yes,yes,no,9,course,yes,MS,no,M,1,1
1,3,other,3,services,11,11,T,1,yes,R,16,0,4,GT3,yes,1,2,father,2,yes,yes,yes,no,11,reputation,no,GP,yes,F,3,1
1,1,other,3,services,18,19,T,1,no,R,17,0,3,LE3,yes,1,2,mother,3,yes,no,yes,no,18,reputation,no,GP,no,F,4,2
3,4,other,4,other,12,10,T,5,yes,R,15,0,1,GT3,yes,3,5,father,1,yes,yes,yes,no,11,home,yes,GP,no,M,4,4
1,3,services,3,services,14,14,T,1,no,U,18,0,5,LE3,yes,3,3,mother,1,yes,yes,yes,no,15,home,no,GP,no,F,4,1
2,1,other,4,other,9,10,T,2,yes,U,16,0,1,LE3,yes,2,4,mother,1,yes,yes,yes,no,10,home,no,MS,no,F,2,2
1,2,at_home,1,other,14,13,T,1,yes,U,15,0,4,LE3,yes,3,2,father,5,yes,yes,yes,no,13,home,no,GP,yes,M,2,1
1,3,other,3,other,12,12,T,2,yes,U,19,0,4,GT3,yes,3,3,other,3,yes,yes,yes,no,13,reputation,no,GP,no,F,4,1
