,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,MG1,MG2
0,1,0,15,1,1,1,1,1,5,5,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10
1,1,0,19,1,1,1,2,1,3,3,1,0,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,11,12
2,1,1,15,1,1,0,3,4,3,5,3,2,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18
3,1,0,15,1,1,1,3,2,2,3,1,1,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,6,7
4,1,1,17,1,0,1,4,3,1,5,3,2,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9
5,1,1,18,1,1,1,4,2,1,5,1,2,1,2,0,0,1,1,1,1,1,1,1,4,3,2,1,4,5,11,12,11
6,1,0,18,1,0,1,2,2,5,5,1,0,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0,8,8
7,1,0,18,1,1,0,4,4,4,1,3,2,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6
8,1,0,16,1,1,1,2,2,5,5,1,2,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,6,7
9,1,0,17,1,1,1,4,3,5,5,2,2,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22,6,6
10,1,0,18,1,0,1,1,1,5,5,1,2,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2,11,11
11,1,0,18,0,1,1,3,1,5,5,2,2,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,9,8
12,1,1,19,1,1,1,3,3,5,5,1,0,1,2,1,0,1,0,1,1,1,1,1,4,4,4,1,1,3,20,15,14
13,1,0,17,1,1,1,4,4,5,1,3,2,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11
